iter	Passed	Remaining
910	4263	416
911	4267	411
912	4273	407
913	4277	402
914	4281	397
915	4285	392
916	4291	388
917	4295	383
918	4298	378
919	4304	374
920	4310	369
921	4313	364
922	4318	360
923	4323	355
924	4327	350
925	4331	346
926	4336	341
927	4341	336
928	4344	332
929	4348	327
930	4354	322
931	4357	317
932	4362	313
933	4366	308
934	4371	303
935	4375	299
936	4379	294
937	4385	289
938	4389	285
939	4393	280
940	4398	275
941	4403	271
942	4408	266
943	4412	261
944	4417	257
945	4421	252
946	4425	247
947	4429	242
948	4434	238
949	4439	233
950	4443	228
951	4448	224
952	4452	219
953	4458	214
954	4464	210
955	4469	205
956	4475	201
957	4480	196
958	4487	191
959	4491	187
960	4496	182
961	4501	177
962	4506	173
963	4510	168
964	4515	163
965	4520	159
966	4524	154
967	4528	149
968	4533	145
969	4537	140
970	4541	135
971	4547	130
972	4551	126
973	4555	121
974	4559	116
975	4565	112
976	4569	107
977	4573	102
978	4578	98
979	4583	93
980	4587	88
981	4592	84
982	4597	79
983	4601	74
984	4605	70
985	4611	65
986	4615	60
987	4620	56
988	4624	51
989	4629	46
990	4633	42
991	4637	37
992	4643	32
993	4647	28
994	4653	23
995	4657	18
996	4663	14
997	4669	9
998	4674	4
999	4680	0
